Sematic : Error1   line:7   标识符: 【x】重定义
Sematic : Error2   line:10   标识符: 【a】重定义
Sematic : Error3   line:15   变量: 【j】未定义
Sematic : Error4   line:20   变量: 【v】未定义
Sematic : Error5   line:29   变量: 【u】未定义
Sematic : Error6   line:32   变量: 【v】未定义
Sematic : Error7   line:32   变量: 【u】未定义
Sematic : Error8   line:32   变量: 【u】未定义
Sematic : Error9   line:32   变量: 【v】未定义
Sematic : Error10   line:32   变量: 【v】未定义
Sematic : Error11   line:32   函数: 【gcd】未定义
Sematic : Error12   line:45   变量: 【aa】未定义
Sematic : Error13   line:46   数组: 【array】下标越界 最大长度:8
Sematic : Error14   line:47   变量: 【fun】已定义为 函数，不可作为左值
Sematic : Error15   line:52   函数参数个数不一致: 【_】_
Sematic : Error16   line:54   变量: 【a】不是数组类型
